term
चमार
chamar
chamaar
chamaarin
chmarr
पासी
paasi
pasi
p@si
भंगी
bhangi
bhangee
ढोबी
dhobi
dhobee
कन्हजर
kanjar
kanjari
kanjarni
मलेच्छ
malech
malecha
हरिजन
harijan
कमीन
kameena
kameeni
kameeniya
kaminey
kameene
चांडाल
chandal
chandaal
भांड
bhand
जंगली
junglee
jungli
junglii
jungly
कसाई
kasai
kasaayi
नाई
naayi
nai
चूड़ा
chuhda
chooda
chudhar
गंदी
gandi
गंदा
ganda
डोम
dom
मुसहर
musahar
तेली
teli
सुनार
sunaar
sunar
बनिया
baniya
bania
b@n1ya
ban1ya
मुल्ला
mulla
mullaah
mullah
mull@
कटुआ
katwa
katua
katuwa
खजूर
khajur
मियां
miya
miyaa
miyaan
हिन्दूवा
hinduwa
पंडित
pandit
सरदार
sardar
कुत्ता
kutta
kutte
कमीना
kameena
कमीनी
kameeni
kanjr
kanjarr
